layer,total_features,avg_specialization,max_specialization,min_specialization,std_specialization,top_feature,top_specialization
28,30,5.6757419347763065,30.54536437988281,3.3195571899414062,5.3657913575156675,27,30.54536437988281
16,30,5.387309710184733,28.683074951171875,2.8387813568115234,5.214153406006523,133,28.683074951171875
22,30,5.22847843170166,23.97547912597656,3.257767677307129,4.2769032832255265,220,23.97547912597656
4,30,4.474840943018595,11.304882049560549,2.1430087089538574,2.7450099657143068,141,11.304882049560549
10,30,4.3545048077901205,21.60348129272461,2.527117252349853,3.5596105673774985,17,21.60348129272461
